Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
100027,Business,Freshman,3.607,2.94,Debugging/Troubleshooting,Intermediate,5,FALSE,11.94,2,Strict_Ban,2,3.047,89.61,High
100028,Business,Senior,2.59,7.21,Ideation,Beginner,2,TRUE,9.12,4,Allowed_With_Citation,10,3.387,83.14,Medium
100029,Humanities,Freshman,3.064,30.32,Summarizing_Reading,Intermediate,3,TRUE,11.34,3,Allowed_With_Disclosure,6,3.011,92.9,Low
100030,Humanities,Freshman,2.907,4.78,Summarizing_Reading,Intermediate,5,FALSE,8.43,4,Strict_Ban,2,3.458,92,Low
100031,STEM,Junior,2.676,,Debugging/Troubleshooting,Intermediate,4,FALSE,10.45,3,Allowed_With_Citation,4,3.633,76.18,Low
100032,STEM,Sophomore,3.545,2.56,Summarizing_Reading,Intermediate,5,FALSE,8.87,1,Strict_Ban,3,4,79.02,Medium
100033,Humanities,Sophomore,3.336,5.95,Copywriting/Drafting,Beginner,5,FALSE,3.25,4,Strict_Ban,4,3.259,63.13,Medium
100034,Business,Freshman,3.522,5.17,Ideation,Beginner,1,TRUE,10.44,5,Allowed_With_Disclosure,2,3.759,75.19,Low
100035,Business,Sophomore,3.089,13.03,Summarizing_Reading,Beginner,5,TRUE,16.27,5,Allowed_With_Disclosure,9,2.592,,Medium
100036,STEM,Junior,3.594,11.71,Debugging/Troubleshooting,Advanced,5,FALSE,17.07,5,Allowed_With_Disclosure,1,3.294,70.84,Medium
100037,Humanities,Freshman,3.231,11.62,Copywriting/Drafting,Intermediate,4,FALSE,7.6,2,Allowed_With_Citation,4,3.366,58.13,High
100038,STEM,Sophomore,3.011,6.51,Summarizing_Reading,Beginner,5,FALSE,13.98,3,Strict_Ban,10,3.598,88.15,Low
100039,STEM,Sophomore,2.944,9.65,Ideation,Advanced,3,TRUE,14.95,1,Allowed_With_Citation,9,3.76,62.09,High
100040,Medical,Senior,2.407,4.2,Debugging/Troubleshooting,Beginner,1,TRUE,16.42,3,Strict_Ban,10,4,76.82,Low
100041,Medical,Sophomore,3.666,4.09,Summarizing_Reading,Beginner,5,TRUE,12.67,3,Strict_Ban,1,3.226,74.78,Medium
100042,Medical,Sophomore,3.62,17.12,Summarizing_Reading,Beginner,2,FALSE,8.16,1,Allowed_With_Disclosure,10,3.263,62.02,Medium
100043,Business,Senior,4,14.57,Copywriting/Drafting,Beginner,1,FALSE,9.79,1,Strict_Ban,2,2.457,67.94,Medium
100044,Humanities,Freshman,3.066,8.71,Debugging/Troubleshooting,Intermediate,3,FALSE,16.67,5,Allowed_With_Citation,1,2.939,51.72,Medium
100045,Humanities,Freshman,2.933,7.85,Copywriting/Drafting,Beginner,3,TRUE,20.9,5,Allowed_With_Citation,9,4,76.87,Medium
100046,Humanities,Junior,2.519,11.77,Ideation,Advanced,2,TRUE,12.63,2,Allowed_With_Disclosure,2,3.895,69.82,Medium
100047,Humanities,Senior,3.584,8.53,Ideation,Advanced,2,FALSE,16.63,1,Allowed_With_Disclosure,4,3.218,94.25,Medium
100048,Medical,Freshman,3.492,7.02,DEBUGGING/TROUBLESHOOTING,Intermediate,2,FALSE,8.27,3,Allowed_With_Citation,2,3.391,83.21,Low
100049,Business,Sophomore,3.821,16.93,Ideation,Beginner,2,FALSE,15.96,1,Strict_Ban,3,2.849,84.59,Low
100050,Business,Sophomore,2.833,12.69,Summarizing_Reading,Intermediate,4,TRUE,8.31,4,Allowed_With_Disclosure,4,3.815,85.34,Medium
100051,Medical,Sophomore,3.487,8.13,Ideation,Intermediate,3,FALSE,10.56,2,Allowed_With_Disclosure,10,3.035,100,Medium
100052,Business,Junior,2.991,5.44,Debugging/Troubleshooting,Advanced,3,TRUE,9.71,3,Strict_Ban,5,2.997,62.71,High
100053,Medical,Freshman,3.737,1.13,Summarizing_Reading,Intermediate,3,TRUE,16.9,2,Strict_Ban,5,3.071,92,High
100054,Humanities,Senior,3.414,7.76,Summarizing_Reading,Intermediate,4,FALSE,15.27,2,Allowed_With_Disclosure,2,3.156,88.09,Medium
100055,Medical,Freshman,2.578,,Summarizing_Reading,Intermediate,5,FALSE,90.01933166,5,Allowed_With_Disclosure,1,3.556,58.55,Low
100056,Humanities,Senior,3.148,1.18,Debugging/Troubleshooting,Beginner,4,FALSE,9.06,5,Allowed_With_Citation,3,2.706,97.83,Medium
100057,Humanities,Senior,2.421,2.69,Summarizing_Reading,Intermediate,1,FALSE,16.01,3,Allowed_With_Disclosure,7,2.891,72.46,Medium
100058,STEM,Freshman,2.735,0.73,Ideation,Intermediate,1,TRUE,14.24,2,Strict_Ban,9,2.942,87.54,Medium
100059,Medical,Sophomore,2.759,6.9,Debugging/Troubleshooting,Beginner,4,TRUE,16.52,4,Allowed_With_Citation,6,2.966,36.69,Medium
100060,STEM,Sophomore,2.944,2.73,Copywriting/Drafting,Intermediate,3,FALSE,9.41,2,Strict_Ban,3,3.385,72.15,Low
100061,Medical,Senior,3.095,4.05,Debugging/Troubleshooting,Advanced,2,FALSE,7.49,2,Strict_Ban,9,3.402,91.71,Medium
100062,Medical,Sophomore,3.266,149.811876,Ideation,Intermediate,3,FALSE,13.67,2,Allowed_With_Disclosure,4,3.3,100,Medium
100063,STEM,Junior,3.246,12.49,Ideation,Intermediate,4,FALSE,16.8,4,Allowed_With_Citation,6,2.43,73.83,Medium
100064,STEM,Junior,3.19,11.62,Debugging/Troubleshooting,Intermediate,3,FALSE,,1,Allowed_With_Citation,10,3.72,68.93,Medium
100065,Medical,Senior,3.333,10.87,Summarizing_Reading,Intermediate,2,FALSE,12.38,4,Allowed_With_Disclosure,2,2.973,81.42,Low
100066,Business,Sophomore,2.7,22.08,Copywriting/Drafting,Intermediate,1,TRUE,3.34,5,Allowed_With_Disclosure,5,2.908,69.11,Medium
100067,Humanities,Senior,3.229,5.71,Ideation,Intermediate,3,FALSE,15.95,1,Allowed_With_Citation,5,3.15,74.05,Medium
100068,STEM,Junior,3.774,4.28,Summarizing_Reading,Intermediate,3,TRUE,8.47,2,Allowed_With_Citation,5,2.634,76.67,Medium
100069,Humanities,Junior,3.134,7.1,Ideation,Advanced,5,FALSE,14.33,4,Strict_Ban,1,2.843,89.22,Medium
100070,Business,Junior,3.398,5.16,Ideation,Advanced,2,TRUE,10.91,3,Strict_Ban,3,2.952,57.23,Medium
100071,Business,Freshman,3.361,13.04,Summarizing_Reading,Intermediate,1,FALSE,14.51,5,Strict_Ban,7,3.532,73.29,Medium
100072,Business,Junior,3.545,14.67,Copywriting/Drafting,Intermediate,3,FALSE,8.3,5,Allowed_With_Citation,10,3.699,74.81,Low
100073,STEM,Sophomore,3.315,20.69,Summarizing_Reading,Intermediate,3,FALSE,13.9,2,Strict_Ban,6,3.656,52.33,Medium
100074,Business,Freshman,3.538,12.99,Debugging/Troubleshooting,Intermediate,5,FALSE,13.77,2,Strict_Ban,8,2.993,96.25,Medium
100075,STEM,Junior,3.403,14.02,Ideation,Intermediate,1,FALSE,12.79,4,Allowed_With_Citation,7,3.044,,Low
100076,Business,Sophomore,3.463,3,Debugging/Troubleshooting,Intermediate,2,FALSE,15.82,4,Allowed_With_Citation,5,3.181,75.88,High
100077,Humanities,Junior,3.377,22.78,Debugging/Troubleshooting,Beginner,1,FALSE,6.88,3,Strict_Ban,1,3.065,100,Low
100078,Humanities,Sophomore,2.797,7.34,Copywriting/Drafting,Beginner,2,FALSE,9.51,3,Allowed_With_Disclosure,9,3.027,84.17,Low
100079,Medical,Sophomore,2.732,2.06,Summarizing_Reading,Intermediate,5,FALSE,12.25,4,Allowed_With_Disclosure,9,2.978,54.83,Medium
100080,Humanities,Junior,3.059,17.32,Ideation,Advanced,1,FALSE,9.65,5,Allowed_With_Citation,2,3.462,76.87,Low
100081,Medical,Junior,3.821,15.19,Ideation,Intermediate,3,FALSE,9.2,4,Strict_Ban,10,2.79,69.51,High
100082,Humanities,Freshman,3.131,4.61,Copywriting/Drafting,Intermediate,1,FALSE,5.95,2,Strict_Ban,3,3.438,64.26,Medium
100083,STEM,Junior,3.324,8.75,Copywriting/Drafting,Advanced,1,FALSE,14.25,1,Allowed_With_Disclosure,6,3.877,55.6,Medium
100084,Humanities,Sophomore,2.413,17.74,Summarizing_Reading,Intermediate,2,FALSE,14.13,1,Allowed_With_Disclosure,5,3.454,74.52,Medium
100085,Medical,Senior,3.277,11.05,Ideation,Advanced,3,TRUE,10.1,5,Strict_Ban,10,3.11,73.95,Medium
100086,Medical,Freshman,3.234,12.09,Summarizing_Reading,Advanced,5,TRUE,15.71,4,Allowed_With_Citation,6,3.324,59.48,Medium
100087,Business,Sophomore,2.131,10.66,Ideation,Beginner,3,FALSE,11.1,4,Allowed_With_Citation,2,4,71.59,High
100088,STEM,Sophomore,3.316,2.49,Debugging/Troubleshooting,Beginner,3,FALSE,9.93,3,Allowed_With_Disclosure,4,2.76,65.57,Low
100089,Humanities,Senior,,10.19,Ideation,Intermediate,2,FALSE,20.51,1,Allowed_With_Citation,7,3.161,91.12,Low
100090,Business,Junior,2.91,14.17,Copywriting/Drafting,Beginner,4,FALSE,11.34,5,Strict_Ban,4,4,78.25,Low
100091,Humanities,Sophomore,3.598,6.04,Ideation,Intermediate,3,FALSE,10.64,1,Allowed_With_Citation,10,3.285,51.68,High
100092,Humanities,Senior,3.263,,Copywriting/Drafting,Intermediate,5,TRUE,12.03,2,Allowed_With_Disclosure,2,3.657,69.15,Medium
100093,Business,Senior,3.021,6.67,Ideation,Intermediate,4,TRUE,16.41,2,Strict_Ban,9,3.072,78.15,Low
100094,Business,Junior,2.986,7.24,Ideation,Beginner,3,FALSE,5.63,3,Strict_Ban,9,3.324,68.68,Low
100095,Business,Senior,,10.99,Debugging/Troubleshooting,Intermediate,5,TRUE,7.98,3,Allowed_With_Disclosure,8,3.307,39.51,Medium
100096,Business,Senior,3.264,5.04,Summarizing_Reading,Advanced,1,TRUE,13.99,3,Allowed_With_Disclosure,5,3.153,53.36,Low
100097,Business,Senior,2.72,21.78,Debugging/Troubleshooting,Advanced,3,FALSE,13.27,4,Allowed_With_Disclosure,7,3.351,61.83,Low
100098,Humanities,Senior,3.65,10.69,Ideation,Beginner,2,FALSE,14.61,5,Strict_Ban,10,2.736,68.51,Medium
100099,Business,Senior,2.741,15.54,Debugging/Troubleshooting,Intermediate,5,FALSE,17.85,5,Allowed_With_Citation,7,2.795,100,Low
100100,STEM,Senior,2.509,15.89,Summarizing_Reading,Beginner,1,FALSE,19,1,Allowed_With_Citation,7,3.729,72.29,Medium
100101,Medical,Sophomore,3.596,14.44,Summarizing_Reading,Intermediate,4,FALSE,14.38,1,Strict_Ban,8,3.188,84.28,High
100102,Business,Freshman,3.025,22.07,Copywriting/Drafting,Beginner,1,FALSE,22.59,3,Allowed_With_Disclosure,2,2.926,44.29,High
100103,Business,Junior,3.228,13.46,Ideation,Intermediate,4,TRUE,11.32,5,Allowed_With_Disclosure,1,3.395,95.65,High
100104,Humanities,Freshman,3.462,11.21,Summarizing_Reading,Beginner,3,FALSE,19.89,2,Allowed_With_Citation,7,3.166,89.29,Low
100105,Business,Junior,2.912,15.77,Ideation,Intermediate,5,FALSE,8.94,1,Allowed_With_Citation,8,3.343,97.18,Medium
100106,Business,Freshman,3.255,19.8,Debugging/Troubleshooting,Beginner,1,TRUE,12.48,5,Allowed_With_Disclosure,7,3.538,57.16,Low
100107,Business,Junior,3.459,6.66,Copywriting/Drafting,Beginner,1,TRUE,11.17,5,Allowed_With_Disclosure,2,3.646,77.59,Low
100108,Humanities,Senior,3.857,5.9,Copywriting/Drafting,Intermediate,1,FALSE,15.52,1,Strict_Ban,4,3.445,85.44,Low
100109,Business,Freshman,2.996,8.99,Debugging/Troubleshooting,Advanced,1,FALSE,7.61,1,Strict_Ban,10,2.958,76.58,Medium
100110,Medical,Freshman,3.015,8.08,Ideation,Intermediate,4,TRUE,11.67,2,Allowed_With_Disclosure,2,3.049,84.72,Low
100111,Humanities,Junior,3.425,11.23,Copywriting/Drafting,Beginner,4,FALSE,17.25,1,Allowed_With_Citation,3,3.406,63.75,Medium
100112,Medical,Junior,3.283,9.2,Summarizing_Reading,Beginner,5,TRUE,16.2,3,Allowed_With_Disclosure,2,2.878,75.78,Low
100113,Humanities,Sophomore,3.145,7.89,Copywriting/Drafting,Advanced,4,TRUE,14.44,2,Allowed_With_Citation,3,3.513,68.26,Medium
100114,Business,Senior,3.837,5.35,Copywriting/Drafting,Beginner,3,FALSE,13.98,4,Allowed_With_Disclosure,3,3.144,82.75,Low
100115,Medical,Senior,2.527,1.26,Summarizing_Reading,Advanced,1,FALSE,16.1,2,Allowed_With_Disclosure,4,2.581,100,Low
100116,Humanities,Sophomore,2.631,8.06,Copywriting/Drafting,Intermediate,2,FALSE,11.25,2,Strict_Ban,1,3.863,75.68,Low
100117,STEM,Junior,2.532,3.99,Copywriting/Drafting,Intermediate,3,FALSE,4.06,1,Allowed_With_Disclosure,8,3.669,79.1,High
100118,Business,Senior,3.681,3.47,Summarizing_Reading,Beginner,2,FALSE,10.39,1,Allowed_With_Disclosure,3,3.178,70,Low
100119,Humanities,Junior,3.406,6.69,Debugging/Troubleshooting,Intermediate,3,FALSE,13.09,5,Allowed_With_Citation,6,3.072,73.81,Low
100120,STEM,Senior,2.652,10.07,Ideation,Beginner,3,FALSE,12.82,5,Allowed_With_Citation,6,2.74,80.97,Medium
100121,Humanities,Freshman,3.151,4.12,Summarizing_Reading,Intermediate,2,TRUE,14.83,2,Allowed_With_Disclosure,10,2.844,69.33,Low
100122,STEM,Freshman,3.189,8.13,Summarizing_Reading,Intermediate,1,TRUE,10.16,5,Strict_Ban,6,3.567,81.96,Medium
100123,Business,Senior,2.316,4.69,Summarizing_Reading,Intermediate,1,TRUE,11.56,3,Allowed_With_Citation,9,3.562,164.640246,High
100124,Medical,Senior,3.275,9.52,Ideation,Intermediate,4,TRUE,14.37,2,Strict_Ban,1,2.651,70.93,Medium
100125,STEM,Senior,2.729,3.37,Summarizing_Reading,Advanced,2,TRUE,15.6,5,Strict_Ban,10,3.586,95.44,High
100126,Humanities,Sophomore,3.483,5.17,Debugging/Troubleshooting,Advanced,3,TRUE,9.62,2,Strict_Ban,9,2.786,62.21,High
100127,Business, Senior ,2.741,14.91,Copywriting/Drafting,Beginner,5,TRUE,12.24,1,Allowed_With_Disclosure,4,3.28,81.38,Medium
100128,STEM,Sophomore,3.288,7.05,Debugging/Troubleshooting,Advanced,3,FALSE,17.92,2,Allowed_With_Disclosure,7,4,79.15,High
100129,Humanities,Sophomore,3.718,13.83,Copywriting/Drafting,Beginner,4,FALSE,5.58,4,Strict_Ban,10,3.89,72.95,High
100130,Humanities,Freshman,3.59,16.1,Summarizing_Reading,Intermediate,1,FALSE,7.03,5,Allowed_With_Citation,10,3.196,45.73,Low
100131,Humanities,Senior,3.403,2.13,Debugging/Troubleshooting,Intermediate,2,FALSE,14.37,4,Strict_Ban,9,2.611,69.54,Low
100132,STEM,Freshman,3.167,4.32,Debugging/Troubleshooting,Beginner,4,FALSE,14.45,4,Strict_Ban,7,3.368,49.24,High
100133,STEM,Freshman,2.6,11.91,Copywriting/Drafting,Beginner,4,FALSE,10.68,5,Allowed_With_Citation,10,3.346,54.13,High
100134,STEM,Sophomore,3.024,6.48,Ideation,Beginner,4,FALSE,13.07,2,Allowed_With_Disclosure,8,3.781,73.12,Low
100135,Medical,Junior,3.11,12.9,Ideation,Beginner,4,FALSE,,4,Allowed_With_Disclosure,6,2.975,66.23,Low
100136,STEM,Sophomore,3.081,8.57,Debugging/Troubleshooting,Intermediate,3,FALSE,12.59,2,Strict_Ban,7,3.15,70.49,High
100137,STEM,Freshman,2.587,,Debugging/Troubleshooting,Beginner,4,FALSE,14.27,4,Strict_Ban,10,2.941,83.8,Low
100138,STEM,Sophomore,3.374,4.6,Summarizing_Reading,Intermediate,4,FALSE,10,2,Allowed_With_Disclosure,8,3.482,67.42,Medium
100139,Medical,Sophomore,2.728,5.22,Ideation,Beginner,2,FALSE,13.69,4,Allowed_With_Citation,4,2.971,45.73,Medium
100140,STEM,Sophomore,3.818,13.59,Summarizing_Reading,Beginner,5,FALSE,13.26,4,Allowed_With_Citation,10,3.66,68.1,High
100141,Humanities,Senior,3.259,10.73,Ideation,Advanced,2,FALSE,7.99,5,Allowed_With_Citation,2,2.923,80.98,High
100142,STEM,Sophomore,3.592,2.15,Debugging/Troubleshooting,Advanced,2,FALSE,18.43,2,Allowed_With_Disclosure,2,3.256,75.53,High
100143,Humanities,Freshman,3.583,8.03,Copywriting/Drafting,Intermediate,3,FALSE,15.77,3,Strict_Ban,1,3.795,57.74,High
100144,Humanities,Sophomore,4,6.82,Debugging/Troubleshooting,Intermediate,4,TRUE,16.45,2,Allowed_With_Citation,4,3.604,70.83,Medium
100145,Humanities,Senior,3.273,17.38,Summarizing_Reading,Beginner,5,FALSE,7.89,3,Allowed_With_Citation,7,3.177,64.96,High
100146,Medical,Freshman,3.044,16.8,Debugging/Troubleshooting,Intermediate,5,FALSE,16.05,4,Allowed_With_Citation,1,3.355,89.43,Low
100147,MEDICAL,Sophomore,3.052,10.16,Ideation,Beginner,3,TRUE,,5,Allowed_With_Citation,8,2.892,55.95,Low
100148,Medical,Freshman,3.798,13.04,Copywriting/Drafting,Beginner,2,FALSE,9.81,2,Strict_Ban,7,3.289,100,Medium
100149,STEM,Senior,2.672,2.91,Summarizing_Reading,Beginner,4,TRUE,16.39,1,Strict_Ban,9,3.305,66.65,Medium
100150,Humanities,Junior,2.849,10.55,Copywriting/Drafting,Beginner,3,TRUE,9,4,Allowed_With_Citation,3,4,34.38,Medium
100151,Medical,Senior,3.295,11.86,Ideation,Intermediate,5,FALSE,12.38,3,Allowed_With_Disclosure,10,3.142,100,Low
100152,Medical,Senior,3.139,1.8,Summarizing_Reading,Intermediate,4,TRUE,4.95,3,Allowed_With_Disclosure,5,3.339,63.63,High
100153,STEM,Freshman,3.587,3.74,Summarizing_Reading,Beginner,5,FALSE,9.04,3,Allowed_With_Citation,2,3.308,74.18,Low
100154,Medical, Freshman ,2.665,17.81,Copywriting/Drafting,Advanced,1,TRUE,7.63,5,Strict_Ban,8,4,87.7,Low
100155,STEM,Junior,3.173,1.72,Summarizing_Reading,Intermediate,5,TRUE,14.48,4,Strict_Ban,5,2.386,75.73,Medium
100156,Business,Junior,3.125,6.12,Summarizing_Reading,Intermediate,5,FALSE,2.9,1,Allowed_With_Disclosure,7,3.038,89.68,Low
100157,MEDICAL,Junior,2.771,3.71,Debugging/Troubleshooting,Intermediate,5,TRUE,10.77,2,Strict_Ban,10,2.943,78.47,Medium
100158,Business,Senior,3.551,4.61,Copywriting/Drafting,Intermediate,2,FALSE,10.46,3,Allowed_With_Citation,2,3.166,73.35,Medium
100159,STEM,Senior,3.163,7.3,Ideation,Advanced,1,FALSE,11.73,4,Allowed_With_Citation,4,3.079,63.46,Medium
100160,Humanities,Junior,3.146,15.83,Debugging/Troubleshooting,Intermediate,5,FALSE,9.9,3,Strict_Ban,6,3.038,74.59,Medium
100161,Medical,Junior,2.87,,Ideation,Advanced,3,FALSE,8.06,3,Allowed_With_Citation,6,3.628,65.93,High
100162,STEM,Junior,3.052,10.57,Summarizing_Reading,Advanced,2,FALSE,10.54,1,Allowed_With_Citation,10,2.779,72.13,Low
100163,Humanities,Sophomore,2.791,,Copywriting/Drafting,Intermediate,4,FALSE,6.6,5,Strict_Ban,2,3.112,96.7,High
100164,Humanities,Sophomore,3.546,5.9,Ideation,Intermediate,4,FALSE,13.73,5,Allowed_With_Citation,5,3.079,69.56,High
100165,Business,Junior,3.613,10.64,Debugging/Troubleshooting,Advanced,2,FALSE,13.87,1,Allowed_With_Disclosure,7,2.819,85.47,Medium
100166,STEM,Senior,,24.13,Copywriting/Drafting,Beginner,2,TRUE,11.62,5,Allowed_With_Disclosure,2,2.732,87.91,Low
100167,Humanities,Freshman,3.374,8.91,Copywriting/Drafting,Beginner,1,FALSE,16.96,2,Allowed_With_Disclosure,1,4,52.48,Low
100168,Medical,Senior,3.064,4.77,Ideation,Intermediate,3,FALSE,10.35,1,Strict_Ban,4,3.405,58.25,Low
100169,Medical,Freshman,3.012,10.78,Ideation,Beginner,1,FALSE,14.19,3,Allowed_With_Citation,2,3.533,91.49,Low
100170,Business,Junior,3.396,10.17,Copywriting/Drafting,Intermediate,4,FALSE,19.69,1,Allowed_With_Citation,4,2.805,73.03,Medium
100171,Humanities,Sophomore,3.28,4.66,Debugging/Troubleshooting,Intermediate,3,FALSE,8.88,1,Allowed_With_Citation,10,2.659,52.98,Low
100172,STEM,Sophomore,3.13,2.03,Debugging/Troubleshooting,Beginner,2,TRUE,12.15,2,Allowed_With_Citation,2,3.713,55.39,Medium
100173,Medical,Freshman,3.095,4.32,Debugging/Troubleshooting,Advanced,5,FALSE,5.44,3,Allowed_With_Citation,5,2.962,88.95,Low
100174,Humanities,Junior,3.668,6.88,Copywriting/Drafting,Intermediate,1,FALSE,14.44,3,Strict_Ban,9,2.847,64.05,Medium
100175,Humanities,Sophomore,3.027,9.06,Summarizing_Reading,,1,FALSE,11.82,1,Allowed_With_Citation,5,3.497,56.22,Low
100176,Business,Junior,3.739,7.77,Copywriting/Drafting,Advanced,4,TRUE,10.77,3,Strict_Ban,10,2.992,65.37,Low
100177,Medical,Junior,3.273,14.55,Debugging/Troubleshooting,,1,FALSE,8.78,1,Allowed_With_Disclosure,9,2.763,86.26,Low
100178,Medical,Freshman,3.053,10.22,Ideation,Beginner,1,FALSE,10.84,1,Allowed_With_Citation,10,3.708,74.81,Low
100179,STEM,Junior,2.886,4.71,Ideation,Beginner,5,FALSE,12.35,1,Allowed_With_Citation,2,2.841,55.79,Low
100180,Medical,Junior,,7.98,Debugging/Troubleshooting,Beginner,5,TRUE,11.24,3,Allowed_With_Citation,5,2.491,82.97,Low
100181,STEM,Freshman,3.401,16.64,Ideation,Intermediate,5,TRUE,7.51,5,Allowed_With_Citation,7,2.987,94.68,Low
100182,Medical,Sophomore,3.049,25.16,Copywriting/Drafting,Beginner,5,TRUE,12.82,3,Allowed_With_Disclosure,10,3.422,98.5,Medium
100183,Business,Senior,3.54,7.52,Copywriting/Drafting,Advanced,3,TRUE,11.4,1,Allowed_With_Citation,10,2.985,70.54,Medium
100184,Medical,Junior,3.029,4.94,Summarizing_Reading,Beginner,4,FALSE,7.18,4,Allowed_With_Citation,2,3.112,74.34,Medium
100185,STEM,Freshman,3.15,12.36,Ideation,Intermediate,4,FALSE,10.33,5,Allowed_With_Disclosure,7,2.803,71.88,Medium
100186,STEM,Sophomore,2.685,9.65,Summarizing_Reading,Beginner,3,FALSE,9.38,3,Allowed_With_Citation,7,3.378,36.64,Low
100187,Business,Junior,3.424,19.44,Summarizing_Reading,Advanced,2,TRUE,14.09,4,Strict_Ban,3,2.793,99.21,High
100188,Medical,Senior,3.093,19.81,Copywriting/Drafting,Intermediate,5,FALSE,10.11,3,Allowed_With_Citation,6,3.423,62.5,High
100189,Medical,Sophomore,3.832,14.08,Copywriting/Drafting,Intermediate,1,FALSE,11.73,3,Allowed_With_Disclosure,3,3.976,58.83,High
100190,Business,Freshman,3.482,8.98,Ideation,Intermediate,5,TRUE,9.48,2,Allowed_With_Citation,4,3.117,67.23,High
100191,Medical,Junior,3.234,4.94,Copywriting/Drafting,Beginner,3,TRUE,7.33,2,Strict_Ban,7,2.279,,Medium
